STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
2228.0,"GALA BEEL AT DERGAON, 
ASSAM",POND,ASSAM,20.0,29.0,5.3,9.0,6.2,7.3,32.0,395.0,1.6,3.0,0.1,2.3,360.0,1100.0,360.0,21000.0
3772.0,BORPUKHURI AT SONARI,POND,ASSAM,21.0,31.0,4.5,7.0,6.4,7.5,26.0,77.0,2.2,3.0,1.1,1.8,300.0,360.0,360.0,1500.0
3809.0,"JORPUKHURI AT UZANBAZAR 
(UGRATALA TEMPLE)",POND,ASSAM,24.0,31.5,4.0,7.3,6.8,7.6,280.0,321.0,3.4,6.6,0.8,3.1,300.0,3600.0,910.0,29000.0
3806.0,"POND WATER FROM 
RAMKRISHNA MISSION AT 
HAILAKANDI",POND,ASSAM,20.0,27.0,4.0,4.8,7.1,7.2,136.0,165.0,3.0,4.1,0.3,1.6,360.0,1400.0,360.0,2800.0
1532.0,"*GOYSAGAR TANK, SIBSAGAR, 
ASSAM",TANK,ASSAM,18.0,31.0,5.2,7.2,5.9,7.8,21.0,36.0,1.4,3.0,0.1,1.8,300.0,620.0,360.0,2000.0
2557.0,"KAWAR LAKE, BEGUSARAI, 
BIHAR",LAKE,BIHAR,19.0,32.0,5.4,8.0,7.2,7.9,222.0,325.0,2.1,2.8,0.0,0.0,7000.0,26000.0,15000.0,38000.0
2571.0,"MOTI JHEEL AT MOTIHARII, 
BIHAR",LAKE,BIHAR,18.0,34.0,6.2,7.9,7.0,8.0,275.0,1190.0,2.1,2.8,0.0,0.0,2100.0,14000.0,3100.0,24000.0
2573.0,"TIGHI TALAB AT GAYA, BIHAR",POND,BIHAR,18.0,34.0,6.2,9.5,7.1,8.1,340.0,748.0,2.6,3.2,0.0,0.0,1700.0,27000.0,3900.0,40000.0
2574.0,"SURAJ KUND AT GAYA, BIHAR",POND,BIHAR,18.0,33.0,6.4,9.8,7.4,8.2,308.0,600.0,2.3,3.0,0.0,0.0,1700.0,21000.0,2700.0,32000.0
2046.0,"SUKHNA LAKE, CHANDIGARH",LAKE,CHANDIGARH,14.0,32.0,5.1,9.7,6.7,9.1,137.0,244.0,3.0,203.0,0.28,5.2,2.0,210000.0,2.0,540000.0
3163.0,"HITKASA TAILING DAM, 
RAJHARA, CHHATISGARH.",LAKE,CHHATTISGARH,,,5.8,12.0,7.0,7.9,,,,,0.0,0.47,,,260.0,260.0
3164.0,"NEHRU NAGAR TALAB, BHILAI, 
CHHATISGARH.",POND,CHHATTISGARH,,,6.4,7.2,7.2,7.8,,,,,0.0,0.37,,,460.0,460.0
1549.0,"SALAULIM LAKE AT SALAULIM 
- SANGUEM, GOA",LAKE,GOA,26.0,35.0,6.1,8.3,6.3,7.6,42.0,337.0,0.0,1.5,0.0,0.16,8.0,7900.0,2.0,13000.0
2269.0,"MAYEM LAKE, BICHOLIM",LAKE,GOA,26.5,33.0,4.4,8.8,5.2,7.4,38.0,77.0,0.5,2.2,0.0,0.83,220.0,4900.0,260.0,9200.0
3175.0,ANJUNEM LAKE,LAKE,GOA,27.0,32.5,6.1,9.1,6.2,7.9,43.0,100.0,0.4,2.0,0.01,0.42,8.0,130.0,2.0,540.0
3176.0,RUMDER LAKE,LAKE,GOA,25.3,35.0,1.9,7.5,6.3,8.0,98.0,324.0,0.6,6.0,0.03,2.43,780.0,7900.0,1100.0,11000.0
3177.0,CARAMBOLIM LAKE,LAKE,GOA,23.3,33.0,2.8,8.5,6.4,7.7,63.0,235.0,1.0,5.1,0.0,1.24,110.0,7900.0,140.0,22000.0
3178.0,RAIA LAKE,LAKE,GOA,26.5,38.0,4.7,9.2,6.0,7.6,72.0,417.0,1.0,9.9,0.0,0.19,200.0,24000.0,450.0,35000.0
3179.0,SAIPEM LAKE,LAKE,GOA,26.0,31.5,0.0,7.8,6.4,7.8,289.0,380.0,1.1,12.0,0.0,11.57,35000.0,54000.0,54000.0,92000.0
